conversation_id_str,full_text,id_str,user_id_str,username
1897764481272545613,Pak Luhut ayo teriakin you're fuckin n*gger ke investor yg mulai resah itu,1897764481272545613,1721891766440427520,bahlil_holic
1897681997725651143,bahlil,1897763663026467165,1358341562,zekjen
1897606657062154369,Ai maneh dongo kos doang si bahlil,1897683605553598478,1425853213111058436,aisyyyy123
1897607981623374056,mending diangkut bahlil aowkaowkak yh nanti guah dm,1897683122390753538,1609380787685847040,kuciingsigma
1897638271213293867,Anggaplah anggapan Mbah Arief benar berarti terjadi pembiaran bukan? Kan Sontoloyo itu itu tindakan seorang presiden  kok bisa? Demi anak karbitan bisa maju WaPres? Demi mantu bisa maju Gubernur? Demi Anaknya bisa KETUM? Supaya Bahlil bisa Ketum? Presiden macam apa itu https://t.co/4IoWA7oYJn,1897680449276907725,50586787,Info24Jam
1897663409354920264,Saingan jelek jelekan sama pujangga Wakanda Bahlil Gibran.,1897680362526097609,262750853,819uta
1897679291628109959,jangan lupa gosok gigi sebelum tidur biar giginya ga kropos kaya bahlil,1897679291628109959,1737872006622932992,caketobeyi
1897676306474733855,berteman sm klian ada salah yaaa sampai ketemu lagi klo aku udh rada baikan yh anw bwat anak bahlil lovers ntar kapan2 aku join buat maen mapia yh awoakwoak soalnya ak cmn rest twt hehe byee aku logout dulu efriwan,1897677607984099658,1874074068875644928,zuareq
1897677283378466931,YaAllah mohon pindahin semua banjir kerumah mulyono prab gibran bahlil dkk banyak bgt gabisa sebut satu2 aamiin,1897677283378466931,1730893902,luhaluan
1897676439899836768,Gw dukung kettt btw Bahlil kapan mundur?,1897676439899836768,1562843988188573696,Acil_mika
1897675780236423467,tanya bahlil kak,1897675780236423467,1554828450384322561,dooltesnet
1897301454379212821,Duh.. Bahlil gimana itu menurut bu Susi?,1897675759030067645,465224207,anissudinmarket
1897673771009691952,bahlil mukanya np kek pelawak sih. cocokan main ovj,1897673771009691952,1041052188,ourbutterlies
1897672863320310057,yg ketawa anaknya bahlil,1897673362408947916,1752591141177012224,ketuaplanett
1897667622378127677,ngocok keluar nomer undian hadiah e bahlil,1897673346466386163,772797349265408002,diablejembuy
1897670875010441648,feeling gw bahlil pasti terlibat akan peristiwa ini,1897673017075085775,1791425278893498368,_ellamigo
1897244081790836969,kalo diatas jelek namanya bahlil,1897672903216476564,4892191320,ssssunflowers
1897672368228536365,ga asik ah temen irl gue diajak jokes ani-ani Bahlil pada ilang,1897672368228536365,877960504282566656,akshykn
1897672199177420882,jgn lupa skinkeran biar gakaya bahlil dan gibrus,1897672199177420882,1051428717145206785,tissuepanda
1897168212678336924,gampang banget kepancing kyk bahlil :(,1897670944807887057,1402227479750668289,sumnsheet
1896971198531297312,Semoga pemilih yang belum sadar tiap tidur mimpi digerayangjn bahlil.,1897670426291282339,1877864761100320768,Heretics666_
1897535117507396059,Gibran Bahlil Noel Juli pada ga enak diliat mukanya,1897657467246621090,163722935,gilanugrahp
1897656953242845592,Kacau ini mah siluman gorong-gorong masi aja dikasi spotlight.,1897656953242845592,2843606407,beacuan
1897653786266726587,Jalur bahlil aja.,1897656872972550538,1581847520900091904,sorenavistha
1897414860876738665,adeknya bahlil,1897656804550791299,1507779278196600833,cendol_elisabet
1897606317822611680,mank gw bahlil,1897656513759695244,1381116031410741250,paradisenthu
1897656408356900972,Ini banjir di Kampar ud semingguan. Tida meledak bukan Batavia. Ini di Sumatera jauh dari hiruk pikuk kuasa.,1897656408356900972,2843606407,beacuan
1897571520895156300,Yg terbaru lagi debat (gw perhalus) sama idol dari Thai(p). Sepele sih cuma karena idol P itu votenya unggul dan maksa fans P dari indo untuk vote C. Trus bawa-bawa nasionalisme pula. Macem Bahlil.,1897655938523545785,1249258821102366720,va9aminyoongust
1897635998496157955,Mala mirip mbah kandar muda,1897655873025286546,2843606407,beacuan
1897655402369868062,Sekte kembang kemboja bawak anggauta rame ke kekaisaran. Babak belur sumber daya kekaisaran.,1897655402369868062,2843606407,beacuan
1897290542071078950,Muka bahlil biasa aja lil gausah di jelek jelekin. Mabok dulu lil bahlil maboqqq,1897655064434512179,3477463992,AdhiFahrul
1896874822153777320,Duluk kan awak ceriteraken ada mamak dari apak hilang seminggu ditemukan di ilia ngarai tangan terikat dengan tubuh luka tembak.,1897654761697976460,2843606407,beacuan
1897403433424163151,Mana bocor belum sehari,1897654424232968510,2843606407,beacuan
1897635998496157955,Jauh,1897654238244946092,2843606407,beacuan
1897620755434864779,Yang jelas bukan Riphit dan Lisa,1897654199913263167,3317330738,seper_sepuluh
1897648476571504869,gue cium palanya bahlil,1897653841115725929,1758142668889288704,winsolutioncok
1897645828862566469,terima aja emg kamu bahlil bgt,1897653312318775384,1698169267836076032,xkozuki
1897652688604791075,Nasib Gelar Doktor Bahlil Lahadalia Diputuskan UI Besok https://t.co/l4FJPetqR8,1897652688604791075,132078023,officialinews_
1897601465348202831,itu anak raja jawa lho mak kata bahlil si masih #IndonesiaGelap,1897652523609235896,404784489,s3muttt
1897613087970390435,ganteng banget kek orang umur pendek,1897652366687764717,467555804,timkatakanputus
1897613087970390435,ga bisa berword word nah kawan bahlil bagaimana menurut anda ?,1897650780301373481,2985144721,fentyam_
1897648950737539528,angin duduk di samain sm bahlil jd gamau jir,1897648950737539528,1273242768144429057,tipungers
1897643503212978648,Mending pake LGBT gak sih (luhut gibran bahlil thohir),1897648899546083670,1653815547853950976,paztries
1897535289817739637,f. bahlil,1897647594446504350,264935879,windofsyria
1897647346483397058,lagi tenang tenangnya ngerokok keinget bahlil senyum emang anjing,1897647346483397058,264935879,windofsyria
1897550605775986953,Bahkan Lebih Gentle Dari Bahlil Budi Arie Dan Pejabat Negara Yg Problematik Sih Si Nona Tumbuhan Ini Udah Jadi Publik Enemy Masih Aja Stay Dgn Rasa Tidak Punya Malu Tuh Pejabat Negara Yang Problematik Itu,1897646598416654356,1578198857195737089,rhmtmuslim
1897555093534425511,Kita lawan syaiton syaiton ituh,1897646147378032765,2843606407,beacuan
1897280865136468200,otak komenan ternak mulyono sama. Kalau seperti wabpresmu pakai sepatu trus turun nanti cuma foto2 ga ada solusi. Banjirnya merata makanya perlu kecepatan untuk melihat dan ambil solusi. Dasar bahlil eh bahlul loe pada,1897645259380924854,1699270355242934272,triat_gnap68
1897590554797478296,pasti dikorup bahlil,1897644692134940745,1582695658477129729,BUAJIIIINGAAAAN
1897640463496098166,flora 1 : 0 bahlil,1897644208384864335,798378921699880960,adasmanis
1897598057262297248,emang anakan bahlil lu ini,1897643512168091925,1584054245476929537,hellojanjul
1897642783059644850,Flora lebih berani mundur ketimbang bahlil,1897642783059644850,1841424865662017536,Gagituh
1897639165938024770,Mungkin mereka takut sm bahlil. Jd nggak dateng ke indo,1897642568357416974,1458293653177126913,Jay_ye0l
1897642096330219658,This why Flora Shafiqa much more responsible and brave than Bahlil Lahadalia Raja Juli Antoni Zulkifli Hasan Yandri Susanto Natalius Pigai Raffi Ahmad and Gibran Rakabuming 'Fufufafa' Raka,1897642096330219658,1768071809302425600,radiefrmdhna
1897607981623374056,Angkut gw atau lu diangkut Bahlil,1897640480474886319,1878850897494843394,PJeremyaa
1896903951326580745,HSR punya Kuroo kalau genshin punya Bahlil. (habis scroll galeri dan keinget kalau ss dia karena mirip si bahlul) https://t.co/OYxw1n6p91,1897639736598299090,767091939380498432,Castoritce
1897638728010543511,Muka lu lama-lama mirip bahlil. Aneh.,1897638728010543511,1078924220,gondesdiaa
1897626316708733185,seratussss cie dipopo bahlil,1897638397742666011,1625000845728432130,jiuoreo
1897626316708733185,bahlil akn dtg ke rumah mu utk popo km,1897638311055052912,1625000845728432130,jiuoreo
1897630212315377949,boong ntar didatengin bahlil,1897637773810774504,1720355279538356224,yomicil
1897636125055029600,Lg bete ada muka bahlil pengen banting bantal,1897636125055029600,713746832,butterc00kies
1897603132311347231,4 kata lucu teknik parkir di gsp,1897635887284175296,1714175110385733632,05ectumsempra
1897634439418819047,Soal Mega Korupsi Pertamina Mukhtarudin Soroti Kinerja Menteri ESDM Sebelum Bahlil Lahadalia Anggota Komisi XII DPR RI Mukhtarudin https://t.co/oZ8bbXmzID #golkarindonesia #golkarsolid #partaigolkar #golkarpedia #bahlillahadalia #mukhtarudin https://t.co/uMceaF1Z6K,1897634439418819047,1593171387057049600,squadgolkar
1897634150523527281,UI Akan Tentukan Nasib Disertasi Bahlil Besok https://t.co/rJbWugQZy2,1897634150523527281,388190238,IDNTimes
1897557861045330411,akwowkw bahlil ga tuh,1897632042634125326,1637933136989519873,miawteyus
1897626316708733185,benaaar selamat di mimpi kamu akan dipopo bahlil,1897631332819517765,1625000845728432130,jiuoreo
1897631251248382257,New Post: Lulusan Mana? Ini Latar Belakang Pendidikan Menteri ESDM Bahlil Lahadalia https://t.co/UXLh9ch98A Bahlil Lahadalia seorang pengusaha sekaligus politisi Indonesia saat ini menjabat sebagai Menteri Energi dan Sumber Daya Mineral (ESDM) yang dilanti https://t.co/3cnMH1mjHZ,1897631251248382257,1768845184400515072,wartajogja_com
1897557861045330411,gapapa padahal yang penting ga dikira bahlil,1897630731817365766,1537876151284035585,kzrinji
1897338484966482433,Kaga terima ah. Mana mungkin ada tuyul tanpa pemilik... mana mungkin babi ngepet tanpa ada yang jagain lilin! Erick thohir kek.. Boy Thohir... bahlil...JOKOWI... semua harus diklarifikasi peranannya! aliran uang kuadriliun itu keliatan.. harus dilacak!!!,1897628846872297889,1132112437870645248,missdiah2
1897628833672724886,W mulai meragukan ceritera rang tua terdahulu bahwasanya di bulan ramadhan syaitan dibelenggu.,1897628833672724886,2843606407,beacuan
1897623927234625975,Bahlil.,1897628346382700711,764963250404528128,54MP0_MAIN
1897628315806060919,gak mau jadi jahat tapi kalo buat si bahlil mari kita ketawain paling kenceng,1897628315806060919,1031903479,answnds
1897627967406444605,Kalau 1 dan 2 si oke kak ini ribuan aku pernah ngerasain pas bela anak bahlil kapan lalu gila aku tinggal ambil nasi buat makan aja udah puluhan penasaran masuk WAG mereka isinya apa,1897628272923431236,1296736516161454080,BukanOrdalPSSI
1897620768395346096,lunar kalo diwarnain warna agak item juga mirip bahlil ay #NamtanFilm1stFM #น้ำตาลฟิล์ม,1897627110359072792,1844798237162774528,limejerukk
1897626316708733185,tebak yg bener dapet popo bahlil https://t.co/4wmPMTRTjU,1897626316708733185,1625000845728432130,jiuoreo
1897571692853248349,Ketikan mu ini disukai bahlil,1897626160672248262,1736924124956790784,kxinara
1897625691275055395,lunar emg mirip bahlil sedikit,1897625691275055395,1844798237162774528,limejerukk
1897323325938164161,Hibiki lagi ini mah kaya si bahlil,1897625151078031481,251046895,whalehamlux
1897624833002803541,WTS WTB READY NETFLIX VIDIO DISNEY CANVA VIU WETV IQIYI APPLEMUSIC YOUTUBE PRIME BSTATION LOKLOK YOUKU HBO GO GET CONTACT SCRIBD CHATGPT SEWA ZOOM PRO MAU BELI? GAS KE LiNK https://t.co/VLe5BApnco t. Januari Zouis Gus Miftah bahlil Gaza pagiii #zonauang #zonajajan 262 https://t.co/94jlSumcDe,1897624833002803541,2665585345,cueirs
1897622318048055391,bahlil apa bahlul,1897624685631701135,1733337995254857728,satorupps
1897623877708116322,simulasi nyambit kepala bahlil https://t.co/tQAjdVdQyr,1897623877708116322,2924099870,greeaseball
1897609841650348505,Psti si dobin bau acem kek bahlil loh yah,1897623551039164550,1491358597581705218,vanillabaka
1897623546861683086,flora &gt; bahlil (yang telah merenggut satu nyawa),1897623546861683086,1182523199889670144,sirkumbang
1897583485495484773,Yg salah si bahlil,1897623521620349224,1872226798647537664,rakeljungwon
1897620768395346096,kenapa bahlil sih ayy lunar mah putih bersih suci gitu kaga dekil kaya kaga dimandiin dari lahir #NamtanFilm1stFMLive #NamtanFilm #น้ำตาลฟิล์ม,1897622484608045226,1274854848362512385,rubby_j13
1897622318048055391,udh berusaha semaksimal mungkin tp hasilnya bahlil,1897622318048055391,1894611520858054656,bukanpecandukak
1897525266211278978,demi Allah masih heran..ini dulu jkw nemu dimana si hidden gem kek bahlil ini,1897621575027085716,1161314598504370176,bbiblegum
1897535154987454558,astapirwo mantap,1897621476087619911,467555804,timkatakanputus
1897617639851332067,Mungkin kaya bahlil,1897621241269485798,1487577313386856451,dianaoktvynn
1897620768395346096,bjir lunarnya jadi tinggi gini punya kaki seengganya gak pendek kek bahlil https://t.co/a06iVN7uWe,1897620768395346096,1844798237162774528,limejerukk
1897620763747774544,Gamau minta bantuan ke alumninya si bahlil?,1897620763747774544,1549965954972413955,tokuts_ameh
